Longcode	State	District	Stateabbrev	Rep	PVI	Simplecook	Cookrating	Party	Code	Score	urban	rural	ag	manufacturing	rich	poverty	white	nonwhite	black	hispanic	nonhispanicwhite	old
5001300US0107	Alabama	7	AL	Rep. Terri Sewell	D+20	Safe Dem	Solid Dem	Dem	AL-07	11	72.2	27.8	2.3	11.4	9.3	23.7	34.3	65.7	63.2	3.1	32.3	25.8
5001300US0200	Alaska	0	AK	Rep. Don Young	R+12	Safe Rep	Solid Rep	Rep	AK-AL	5	66	34	5.5	3.8	30.5	7.5	66.5	33.5	3.6	6	63	21.3
5001300US0401	Arizona	1	AZ	Rep. Ann Kirkpatrick	R+4	At-risk Dem	Tossup Dem	Dem	AZ-01	8	62.1	37.9	5.3	6.5	15.5	14.9	64.6	35.4	2.5	21.3	49.3	26.8
5001300US0402	Arizona	2	AZ	Rep. Ron Barber	R+3	At-risk Dem	Tossup Dem	Dem	AZ-02	8	89.2	10.8	1.6	6.5	17.5	11.4	80.8	19.2	4.9	26.2	63.5	31.6
5001300US0403	Arizona	3	AZ	Rep. RaÂl Grijalva	D+8	Safe Dem	Solid Dem	Dem	AZ-03	11	88.8	11.2	3.1	6.3	10.6	20.4	72.9	27.1	4.8	63.6	26.2	19.1
5001300US0404	Arizona	4	AZ	Rep. Paul Gosar	R+20	Safe Rep	Solid Rep	Rep	AZ-04	5	74.1	25.9	2.6	7.7	12.6	11.7	87.5	12.5	1.7	17.5	76.4	39
5001300US0405	Arizona	5	AZ	Rep. Matt Salmon	R+17	Safe Rep	Solid Rep	Rep	AZ-05	5	99.7	0.3	0.6	10.6	27.5	6.8	86.2	13.8	2.7	18	73	26.7
5001300US0406	Arizona	6	AZ	Rep. David Schweikert	R+12	Safe Rep	Solid Rep	Rep	AZ-06	5	96.9	3.1	0.3	6.1	27.9	8.8	86	14	2.8	14.4	75.2	28.7
5001300US0407	Arizona	7	AZ	Rep. Ed Pastor	D+16	Safe Dem	Solid Dem	Dem	AZ-07	11	99.9	0.1	0.8	8.8	9	32.8	68.8	31.2	9.7	63.8	21.1	14.6
5001300US0408	Arizona	8	AZ	Rep. Trent Franks	R+15	Safe Rep	Solid Rep	Rep	AZ-08	5	97.6	2.4	0.6	6.8	22.1	6.8	85.5	14.5	4.9	19.1	70.5	31.1
5001300US0409	Arizona	9	AZ	Rep. Kyrsten Sinema	R+1	At-risk Dem	Lean Dem	Dem	AZ-09	9	100	0	0.3	8.4	19.5	14.3	76.9	23.1	5.1	27.4	57.1	21
5001300US0501	Arkansas	1	AR	Rep. Rick Crawford	R+14	Safe Rep	Solid Rep	Rep	AR-01	5	45.6	54.4	5.2	14.8	9.7	16.5	78.7	21.3	18	2.9	76.8	29.4
5001300US0502	Arkansas	2	AR	OPEN (Griffin)	R+8	At-risk Rep	Lean Rep	Rep	AR-02	3	70.6	29.4	1.6	7.7	16.6	11.8	73.9	26.1	22.3	5	69.7	25.5
5001300US0503	Arkansas	3	AR	Rep. Steve Womack	R+19	Safe Rep	Solid Rep	Rep	AR-03	5	67.6	32.4	2.2	16.6	14.5	13.7	85.7	14.3	2.8	13.2	77.2	23.9
5001300US0504	Arkansas	4	AR	OPEN (Cotton)	R+15	Safe Rep	Likely Rep	Rep	AR-04	4	40.8	59.2	4.3	17.4	10.1	16.6	74.6	25.4	20	5.5	71.8	30.4
5001300US0601	California	1	CA	Rep. Doug LaMalfa	R+10	Safe Rep	Solid Rep	Rep	CA-01	5	62.6	37.4	4.5	6	16.7	12.1	87.3	12.7	1.4	12.9	78.2	33.2
5001300US0602	California	2	CA	Rep. Jared Huffman	D+20	Safe Dem	Solid Dem	Dem	CA-02	11	77.3	22.7	3.1	6	30	9	80.5	19.5	1.8	16.7	72	32.7
5001300US0603	California	3	CA	Rep. John Garamendi	D+3	Safe Dem	Likely Dem	Dem	CA-03	10	86.8	13.2	4.9	7.4	22.4	11.6	65.9	34.1	5.1	28.4	49.6	23.6
5001300US0604	California	4	CA	Rep. Tom McClintock	R+10	Safe Rep	Solid Rep	Rep	CA-04	5	65.6	34.4	1	6.1	28.1	7.3	85.2	14.8	1.2	12.3	77.5	33.1
5001300US0605	California	5	CA	Rep. Mike Thompson	D+19	Safe Dem	Solid Dem	Dem	CA-05	11	92.2	7.8	3.9	9.5	27.2	9.3	68.2	31.8	6.4	27.5	52.1	28.8
5001300US0606	California	6	CA	Rep. Doris Matsui	D+18	Safe Dem	Solid Dem	Dem	CA-06	11	99.9	0.1	0.9	5.1	17.2	19.6	53.5	46.5	13.2	27.2	38.9	22
5001300US0607	California	7	CA	Rep. Ami Bera	EVEN	At-risk Dem	Tossup Dem	Dem	CA-07	8	97.4	2.6	1	6	27.6	11	64.6	35.4	7.3	16.2	55.2	25.1
5001300US0608	California	8	CA	Rep. Paul Cook	R+10	Safe Rep	Solid Rep	Rep	CA-08	5	85.5	14.5	1.3	6	15.4	19.4	72.1	27.9	10.2	35.7	48.7	23.2
5001300US0609	California	9	CA	Rep. Jerry McNerney	D+6	Safe Dem	Likely Dem	Dem	CA-09	10	92.8	7.2	4.8	8.7	22.9	14.8	55.8	44.2	8.5	38.5	34.8	21.5
5001300US0610	California	10	CA	Rep. Jeff Denham	R+1	Safe Rep	Likely Rep	Rep	CA-10	4	92.4	7.6	4.7	12.5	20.5	13.9	73.8	26.2	3.2	41.2	45.5	22
